t	F1	F2	F3	F4	F5	dF1	dF2	dF3	dF4	dF5
 2.73972602739726027395E-0001  2.00795087296167504537E+0002  2.00795087296167504537E+0002  2.00795087296167504537E+0002  1.21969581082265680121E+0002  2.62801521351224573991E+0002  7.32767120928333981766E-0005  7.32767120928333981766E-0005  7.32767120928333981766E-0005  7.32904307296549805715E-0005  7.32081190767384911498E-0005
 3.01369863013698630131E-0001  2.28610735439091022861E+0002  2.28610735439091022861E+0002  2.28610735439091022861E+0002  1.51732994009778902167E+0002  2.74737427746924540300E+0002  7.32686776551123066328E-0005  7.32686776551123066328E-0005  7.32686776551123066328E-0005  7.32823945267019710790E-0005  7.32000935267963946026E-0005
 3.28767123287671232868E-0001  2.56445259941695088035E+0002  2.56445259941695088035E+0002  2.56445259941695088035E+0002  1.79200900092285043699E+0002  2.93679292332083827471E+0002  7.32590511542656362254E-0005  7.32590511542656362254E-0005  7.32590511542656362254E-0005  7.32727659079642081377E-0005  7.31904777074851626593E-0005
 3.56164383561643835605E-0001  2.84389125036298614946E+0002  2.84389125036298614946E+0002  2.84389125036298614946E+0002  2.06717612642486998742E+0002  3.13016508787160782606E+0002  7.32601839173051988330E-0005  7.32601839173051988330E-0005  7.32601839173051988330E-0005  7.32738988967547228351E-0005  7.31916094717837867362E-0005
 3.83561643835616438369E-0001  3.12218997999258294773E+0002  3.12218997999258294773E+0002  3.12218997999258294773E+0002  2.34377753782839518659E+0002  3.31569376395014091763E+0002  7.32620005901371414088E-0005  7.32620005901371414088E-0005  7.32620005901371414088E-0005  7.32757159411289551035E-0005  7.31934244384363788127E-0005
 4.10958904109589041106E-0001  3.40133921020981782934E+0002  3.40133921020981782934E+0002  3.40133921020981782934E+0002  2.60837836074571671668E+0002  3.54017720195522906046E+0002  7.32723552056025767576E-0005  7.32723552056025767576E-0005  7.32723552056025767576E-0005  7.32860727931967844668E-0005  7.32037680213417068261E-0005
 4.38356164383561643842E-0001  8.16641321531633987245E+0000  8.16641321531633987245E+0000  8.16641321531633987245E+0000  2.86568035302614990301E+0002  1.89033206186762548530E+0001  7.32787027128785247493E-0005  7.32787027128785247493E-0005  7.32787027128785247493E-0005  7.32924216575966883840E-0005  7.32101089195777905432E-0005
 4.65753424657534246579E-0001  3.60759268325766260591E+0001  3.60759268325766260591E+0001  3.60759268325766260591E+0001  3.13180048656683521269E+0002  4.05714576810488558728E+0001  7.32860749940738407415E-0005  7.32860749940738407415E-0005  7.32860749940738407415E-0005  7.32997955146237738518E-0005  7.32174735296673023727E-0005
 4.93150684931506849316E-0001  6.40493462645142308254E+0001  6.40493462645142308254E+0001  6.40493462645142308254E+0001  3.40349081780379703721E+0002  6.07443455247499123559E+0001  7.32858195014881640229E-0005  7.32858195014881640229E-0005  7.32858195014881640229E-0005  7.32995399373590024831E-0005  7.32172186338132394084E-0005
 5.20547945205479452053E-0001  9.20643118148261773229E+0001  9.20643118148261773229E+0001  9.20643118148261773229E+0001  6.83351344768693523980E+0000  8.27905431530349132652E+0001  7.32827634202711740006E-0005  7.32827634202711740006E-0005  7.32827634202711740006E-0005  7.32964831629460097127E-0005  7.32141661721999108010E-0005
