t	F1	F2	F3	F4	F5	dF1	dF2	dF3	dF4	dF5
 3.83561643835616438369E-0001  3.41498534366890512046E+0001  3.41498534366890512046E+0001  3.41498534366890512046E+0001  3.16308615361208334993E+0002  5.35002318324448481873E+0001  7.34611029251648477599E-0005  7.34611029251648477599E-0005  7.34611029251648477599E-0005  7.34748182761566614545E-0005  7.33925267734640851637E-0005
 4.10958904109589041106E-0001  7.19303967294100552732E+0001  7.19303967294100552732E+0001  7.19303967294100552732E+0001  3.52634317923938003903E+0002  8.58141959039511783777E+0001  7.34714575405989479983E-0005  7.34714575405989479983E-0005  7.34714575405989479983E-0005  7.34851751281931557074E-0005  7.34028703563380780668E-0005
 4.38356164383561643842E-0001  1.09747642453658289845E+0002  1.09747642453658289845E+0002  1.09747642453658289845E+0002  2.81492584000188803741E+0001  1.20484549857018204827E+0002  7.34778050478548272913E-0005  7.34778050478548272913E-0005  7.34778050478548272913E-0005  7.34915239925729909260E-0005  7.34092112545540930852E-0005
 4.65753424657534246579E-0001  1.47581088387460515360E+0002  1.47581088387460515360E+0002  1.47581088387460515360E+0002  6.46852040706293506533E+0001  1.52076619235932745167E+0002  7.34851773290268080751E-0005  7.34851773290268080751E-0005  7.34851773290268080751E-0005  7.34988978495767411854E-0005  7.34165758646202697062E-0005
 4.93150684931506849316E-0001  1.85410359416979851607E+0002  1.85410359416979851607E+0002  1.85410359416979851607E+0002  1.01710088791907264601E+0002  1.82105358677215533145E+0002  7.34849218364400921793E-0005  7.34849218364400921793E-0005  7.34849218364400921793E-0005  7.34986422723109306396E-0005  7.34163209687651675648E-0005
 5.20547945205479452053E-0001  2.23211674665737062909E+0002  2.23211674665737062909E+0002  2.23211674665737062909E+0002  1.37980876298597820828E+0002  2.13937906003945798858E+0002  7.34818657552303196785E-0005  7.34818657552303196785E-0005  7.34818657552303196785E-0005  7.34955854979051553906E-0005  7.34132685071590564789E-0005
 5.47945205479452054789E-0001  2.60969151977101945949E+0002  2.60969151977101945949E+0002  2.60969151977101945949E+0002  1.74520010736802785534E+0002  2.44753934540994504201E+0002  7.34756633385362462916E-0005  7.34756633385362462916E-0005  7.34756633385362462916E-0005  7.34893816941387554861E-0005  7.34070732191032770868E-0005
 5.75342465753424657526E-0001  2.98695439808377694563E+0002  2.98695439808377694563E+0002  2.98695439808377694563E+0002  2.12006073827856554664E+0002  2.72618739805881652394E+0002  7.34644687703905824228E-0005  7.34644687703905824228E-0005  7.34644687703905824228E-0005  7.34781846539491312223E-0005  7.33958911723576904349E-0005
 6.02739726027397260263E-0001  3.36350199514053518068E+0002  3.36350199514053518068E+0002  3.36350199514053518068E+0002  2.49951706481316194799E+0002  2.98851055657080375089E+0002  7.34570155782017985363E-0005  7.34570155782017985363E-0005  7.34570155782017985363E-0005  7.34707298184455503027E-0005  7.33884462896404948202E-0005
 6.30136986301369863000E-0001  1.38791239250936475555E+0001  1.38791239250936475555E+0001  1.38791239250936475555E+0001  2.87630938897802716836E+0002  3.25398419223522330501E+0002  7.34505289787612959568E-0005  7.34505289787612959568E-0005  7.34505289787612959568E-0005  7.34642417864896352622E-0005  7.33819669480961043023E-0005
